category	id	progress	weight	title	acceptance	dependencies
Equipment, cargo and ship services	EQP-06	50	2	Integrate hull damage, repair and defeat recovery	Damage, consumable/service repair and costly recovery persist across worlds and cannot duplicate/reset resources.	SIM-02,SIM-03
Equipment, cargo and ship services	EQP-07	50	2	Implement charged ship consumables	Energy/repair items consume actual stock once, apply bounded effects and enforce restrictions/cooldowns.	EQP-03,EQP-05,EQP-06
Equipment, cargo and ship services	EQP-08	25	2	Implement physical collection and deployment tools	Tractor/abduction/drop operations transfer valid specimens, goods and artifacts between world and hold with correct ownership consequences.	EQP-03,WRL-05
Equipment, cargo and ship services	EQP-09	25	2	Implement recharge and repair provider services	Real docking/contact providers quote service costs; homeworld recharge is free and foreign prices genuinely apply during travel.	NAV-03,TRD-03,EQP-05,EQP-06
Equipment, cargo and ship services	EQP-10	25	2	Implement defensive ship abilities	Shielding, cloaking and verified defensive abilities have acquisition, energy upkeep and actual encounter effects.	EQP-02,EQP-05
Equipment, cargo and ship services	EQP-11	0	2	Implement remaining exploration utility tools	Verified scout/projection and other non-combat utility tools perform their distinct operations; no inert unlocks.	EQP-01,NAV-06,REF-01
Combat and allied fleets	COM-01	25	3	Generalize damageable combat actors	Ships, buildings and other valid targets expose coherent health, allegiance and hit rules; invalid/friendly targets are handled explicitly.	EQP-06,EMP-01
Combat and allied fleets	COM-02	25	3	Implement direct-fire weapon families	Baseline beams/blasters and tiers differ mechanically in range, damage, energy and cooldown.	EQP-01,COM-01
Combat and allied fleets	COM-03	0	3	Implement guided and projectile weapon families	Missiles and other baseline projectiles track/collide correctly and obey target, resource and upgrade rules.	COM-01,EQP-01
Combat and allied fleets	COM-04	0	3	Implement area and planetary bombardment weapons	Bombing and area damage affect valid targets with bounded simulation and ownership consequence events.	COM-01,EQP-01
Combat and allied fleets	COM-05	25	3	Implement local hostile tactics	Enemies detect, pursue, attack, disengage and select targets without one-script-only encounter behavior.	COM-01,SIM-10
Combat and allied fleets	COM-06	0	2	Recruit and instantiate allied escorts	Eligible allies supply persistent escorts subject to rank capacity and replacement rules.	DIP-05,PRG-03
Combat and allied fleets	COM-07	0	3	Implement escort formation and combat orders	Escorts follow, attack designated targets, avoid hazards and retreat without unbounded pathfinding.	COM-06,COM-05
Combat and allied fleets	COM-08	0	2	Persist escort damage and losses	Destroyed/dismissed/recalled escorts update fleet and diplomatic state exactly once.	COM-06,SIM-06
Combat and allied fleets	COM-09	0	2	Implement combat retreat and encounter termination	Escape, surrender/disable and victory have defined outcomes without resetting health, enemies or loot.	COM-05,COM-08
Combat and allied fleets	COM-10	0	2	Implement stationary and colony defense combat	Defensive actors target invaders and resolve damage through the common combat model.	COL-08,COM-01
Empire territory, warfare and strategic AI	EMP-01	25	2	Model territory and sovereignty	Nation ownership, homeworlds, colonies and shared-planet claims are explicit and separate from species identity.	SIM-01
Empire territory, warfare and strategic AI	EMP-02	0	3	Implement AI expansion and settlement decisions	Empires choose affordable reachable expansion and develop persistent holdings.	EMP-01,COL-01,SIM-10
Empire territory, warfare and strategic AI	EMP-03	0	2	Implement war and peace state	Declarations, hostility and peace change permissions and surviving obligations with durable causes.	EMP-01,DIP-02
Empire territory, warfare and strategic AI	EMP-04	0	3	Schedule and resolve raids and invasions	Strategic actors choose real targets, commit bounded forces and resolve offscreen/onscreen consistently.	EMP-03,COM-05,SIM-10
Empire territory, warfare and strategic AI	EMP-05	0	3	Implement conquest and ownership transfer	Defeated or purchased holdings transfer production, structures and obligations without duplication or orphaned IDs.	EMP-01,COM-09,COL-02
Empire territory, warfare and strategic AI	EMP-06	0	2	Implement pirate and non-state threats	Pirate raids/interceptions have origins, targets, consequences and mitigation independent of normal empire war.	COM-05,SIM-10
Empire territory, warfare and strategic AI	EMP-07	0	3	Implement a core-region antagonist equivalent	An original antagonist has persistent territory, distinctive diplomacy/combat rules and alternative interaction paths.	EMP-02,EMP-03,DIP-02
Empire territory, warfare and strategic AI	EMP-08	0	2	Resolve empire elimination and surviving relationships	Loss of final holdings updates ownership, treaties, trade, fleets and event history consistently.	EMP-05,SIM-06
Diplomacy and social actions	DIP-01	25	2	Implement first contact and speaker identity	Contact resolves the actual nation/representative and unlocks only appropriate interactions.	EMP-01,NAV-06
Diplomacy and social actions	DIP-02	25	3	Implement relationship memory and grievances	Actions create explained modifiers, durations and thresholds; species/nation/planet are not conflated.	SIM-06,DIP-01
Diplomacy and social actions	DIP-03	25	2	Implement NPC philosophy preferences	Verified philosophy families change diplomatic decisions, access and reactions through data-driven rules.	DIP-02,SIM-10,REF-03
Diplomacy and social actions	DIP-04	0	2	Implement gifts, demands and tribute	Offers/demands transfer real value and create appropriate relationship outcomes and refusals.	DIP-02,SIM-03
Diplomacy and social actions	DIP-05	25	2	Implement alliances and non-aggression obligations	Agreements grant access and responsibilities, can be broken and affect later decisions.	DIP-02
Diplomacy and social actions	DIP-06	25	2	Implement trade permission and embargo diplomacy	Agreements/embargoes change trade access and persist with visible causes; commodity movement belongs to TRD.	DIP-02
Diplomacy and social actions	DIP-07	0	2	Implement negotiated system purchase	Eligible diplomatic buyouts transfer real Marks and invoke the single sovereignty-transfer operation.	DIP-06,TRD-07,EMP-05
Diplomacy and social actions	DIP-08	0	2	Implement embassies and normal social influence tools	Verified social tools have costs, valid recipients, duration and political consequences.	DIP-02,EQP-01
Diplomacy and social actions	DIP-09	0	2	Implement hire/attack requests and alliance responses	Diplomatic requests cause actual accepted/refused strategic actions with costs and consequences.	DIP-05,EMP-04
Diplomacy and social actions	DIP-10	0	2	Implement reputation consequences of exceptional actions	Theft, prohibited weapons and hostile acts propagate justified reactions to affected nations.	DIP-02,SIM-06
Markets, shops and trade routes	TRD-01	25	2	Define baseline commodity economics	Representative baseline goods have actual sources, stock, value and role; broader enrichment commodities are excluded here.	SIM-09
Markets, shops and trade routes	TRD-02	25	2	Implement market stock, demand and replenishment	Offers draw on real stock/demand and cannot be farmed through unlimited repeat transactions.	TRD-01,SIM-04
Markets, shops and trade routes	TRD-03	25	2	Implement vendor quotes and pricing modifiers	Local prices and services reflect provider and verified philosophy/consequence rules; displayed quotes match charged prices.	TRD-02,DIP-03
Markets, shops and trade routes	TRD-04	25	2	Implement atomic buy/sell transactions	Quantity, capacity, stock, eligibility and affordability validate together before ledger mutation.	SIM-03,EQP-03,TRD-03
Markets, shops and trade routes	TRD-05	0	2	Implement equipment shop stock and ownership transitions	Unlocked goods become purchasable, not free; purchase installs or stocks actual capabilities.	TRD-04,PRG-04,EQP-02
Markets, shops and trade routes	TRD-06	25	3	Integrate persistent trade routes	Configured routes exchange real surplus within capacity/access/reserve rules while the player explores.	SIM-04,DIP-06,COL-05
Markets, shops and trade routes	TRD-07	0	1	Track route maturity for economic acquisition	Trade-route maturity exposes the correct system-buyout eligibility without itself transferring ownership.	TRD-06
Markets, shops and trade routes	TRD-08	0	2	Implement interruption and recovery of trade	War, embargo, destroyed endpoints and shortages suspend/resume routes truthfully without creating stock.	TRD-06,EMP-03
Colony development and production	COL-01	25	2	Integrate colony founding with ship inventory	A real colonization capability, cost and placement/timing decision establishes a persistent colony from personal flight.	EQP-02,WRL-03,EMP-01
Colony development and production	COL-02	25	2	Implement capacity and development limits	Habitability, ownership and baseline colony slots constrain development and surviving structures.	COL-01,TER-01
Colony development and production	COL-03	25	3	Implement baseline city layout and building roles	Factory/housing/entertainment-equivalent placement creates intelligible production/population/happiness tradeoffs.	COL-02
Colony development and production	COL-04	25	2	Implement colony happiness and unrest	Layout and loyalty modifiers affect population stability and vulnerability with explained causes.	COL-03
Colony development and production	COL-05	25	2	Integrate colony output and storage	Production fills finite local stores over simulation time; collection/trade consumes the same stock.	COL-03,SIM-03,SIM-04
Colony development and production	COL-06	25	2	Implement development purchase and removal	Building changes validate costs and refund/removal rules and persist across visits.	COL-03,SIM-05
Colony development and production	COL-07	0	2	Implement colony support installations	Verified storage, happiness/loyalty and support installations alter the intended local limits/rules.	COL-04,COL-05,EQP-01
Colony development and production	COL-08	0	2	Place and maintain defensive installations	Colony defenses have acquisition/placement/maintenance records; firing behavior belongs to COM-10.	COL-06,EQP-02
Planet manipulation and habitability	TER-01	25	3	Implement complete habitability/T-score rules	Temperature and atmosphere produce stable explicit tiers and expose ecological stabilization requirements.	WRL-04
Planet manipulation and habitability	TER-02	25	3	Implement temperature-changing tool families	Baseline heating/cooling operations and tiers consume resources and change actual planet conditions.	TER-01,EQP-01
Planet manipulation and habitability	TER-03	0	3	Implement atmosphere-changing tool families	Adding/removing atmosphere and combined-effect tools change conditions with appropriate costs and durations.	TER-01,EQP-01
Planet manipulation and habitability	TER-04	0	2	Implement sustained and consumable terraforming behavior	Temporary rates, permanent changes, drift and stabilization differ according to the verified tool definition.	TER-02,TER-03,BIO-03
Planet manipulation and habitability	TER-05	0	5	Implement terrain sculpting operations	Raise/lower/level and shaped terrain tools visibly alter navigable persistent terrain without corrupting sites.	WRL-02,EQP-01
Planet manipulation and habitability	TER-06	0	2	Implement planet coloring and reset	Ground/water/atmosphere palettes persist consistently across globe and surface and can be reset.	WRL-01,EQP-01
Planet manipulation and habitability	TER-07	0	3	Implement planet destruction	Destruction has resource/access restrictions and permanent world/ownership consequences; reactions consume its event.	WRL-01,EMP-05,EQP-01
Planet manipulation and habitability	TER-08	0	2	Implement endgame world-restoration capability	The earned late-game tool applies its verified environment/ecosystem effect with bounded charges and persistent results.	TER-04,BIO-03,EQP-01
Biosphere and developing civilizations	BIO-01	25	2	Define baseline species identities and roles	Plant classes, herbivores and predators have sufficient representative species and valid habitat definitions.	SIM-09
Biosphere and developing civilizations	BIO-02	25	3	Implement aggregate ecosystem population rules	Species populations and interactions respond to climate, collection and deployment without individual-agent simulation.	BIO-01,WRL-04
Biosphere and developing civilizations	BIO-03	0	2	Implement ecological stabilization of habitability	Required species roles establish/maintain supported environmental tiers and fail meaningfully when removed.	BIO-02,TER-01
Biosphere and developing civilizations	BIO-04	0	2	Implement ecosystem collapse and species loss	Unsuitable conditions and population removal have bounded, visible, reversible-or-permanent outcomes as specified.	BIO-02
Biosphere and developing civilizations	BIO-05	0	2	Implement ecological protection and sanctuary effects	Verified stabilizers/protectors/sanctuaries reduce the intended ecological risks and expose their operating limits.	BIO-04,COL-07
Biosphere and developing civilizations	BIO-06	0	2	Implement species manipulation tool effects	Verified eradication/shuffling/size/manipulation operations change population or variants with actual costs and constraints.	BIO-02,EQP-01,REF-01
Biosphere and developing civilizations	BIO-07	0	3	Implement pre-space civilization world states	Creature/tribal/civilization-level societies are discoverable states with appropriate interactions, not ordinary space empires.	BIO-01,EMP-01
Biosphere and developing civilizations	BIO-08	0	3	Implement uplift/monolith progression	Uplift changes a civilization over time into an actual contactable empire with coherent identity and consequences.	BIO-07,DIP-01,EQP-01
Progression and capability eligibility	PRG-01	0	2	Implement badge counter definitions	Every retained baseline family/tier maps to durable counting rules and explicit adaptations.	REF-02,SIM-06
Progression and capability eligibility	PRG-02	0	2	Implement deduplicated accomplishment counting	Distinct actions count correctly; repeat load/build-delete/trade loops cannot fabricate advancement.	PRG-01
Progression and capability eligibility	PRG-03	25	2	Implement master ranks and rank benefits	Badge progress advances rank and changes the actual verified capabilities such as escort capacity.	PRG-02
Progression and capability eligibility	PRG-04	0	2	Implement alternate unlock paths and prerequisites	Eligibility evaluates OR/AND badge requirements and preceding upgrades independently from ownership and price.	PRG-02,REF-01
Progression and capability eligibility	PRG-05	0	1	Implement separate achievement records	One-time achievements remain distinct from repeated badge tiers and survive reloads.	SIM-06,REF-02
Progression and capability eligibility	PRG-06	0	2	Tune peaceful and aggressive progression paths	Both paths reach useful tools through consequential actions without compulsory delivery grinding.	PRG-03,PRG-04,TRD-05
Player archetypes and special powers	ARC-01	0	2	Represent player archetype identity	A scenario/choice establishes the player's baseline philosophy without requiring earlier Spore stages.	REF-05,SIM-01
Player archetypes and special powers	ARC-02	0	2	Implement verified consequence abilities	Starting/archetype consequences affect their intended rules without hidden free advantages.	ARC-01,REF-01
Player archetypes and special powers	ARC-03	0	5	Implement each archetype-specific power	Every retained unique power has its own verified cost, effect, restriction and feedback; it invokes shared domain primitives.	ARC-01,EQP-01,DIP-02,COM-01
Player archetypes and special powers	ARC-04	0	2	Implement philosophy-change progression	A permitted conversion changes identity and available power through actual requirements and persistent results.	ARC-01,ARC-03,PRG-02
Discoveries, contracts and endgame encounters	EVT-01	25	2	Implement physical artifact and rare-tool placement	Scannable/collectible finds spawn persistently on appropriate worlds with unique collection identity.	WRL-05,EQP-08
Discoveries, contracts and endgame encounters	EVT-02	0	2	Implement artifact sets and duplicate handling	Collection membership, duplicate value and completion outcomes are distinct from cargo storage and badge counting.	EVT-01
Discoveries, contracts and endgame encounters	EVT-03	0	3	Implement optional contract lifecycle	Offer/accept/decline/complete/fail states track actual participants, deadlines, rewards and consequences.	SIM-06,DIP-01
Discoveries, contracts and endgame encounters	EVT-04	0	3	Implement retained baseline contract objective types	Verified exploration, collection, defense and other retained objectives read real domain outcomes; compulsory gopher grind is explicitly adapted.	EVT-03,REF-03
Discoveries, contracts and endgame encounters	EVT-05	0	2	Implement ecological and colony crisis events	Threatening domain conditions create intelligible timed events with meaningful response and failure outcomes.	EVT-03,BIO-04,COL-04
Discoveries, contracts and endgame encounters	EVT-06	25	2	Implement ambient discovery and risk encounters	Optional signals lead to bounded distinct interactions and rewards without repeating the same salvage script everywhere.	NAV-06,EQP-01
Discoveries, contracts and endgame encounters	EVT-07	0	2	Implement core arrival and endgame reward	Reaching the core triggers an original culmination and grants the actual earned capability exactly once.	NAV-08,EMP-07,TER-08
Discoveries, contracts and endgame encounters	EVT-08	0	1	Continue play after endgame milestones	The galaxy and progress remain playable after core outcomes, including return travel and persistent consequences.	EVT-07,SIM-07
Interface, settings and onboarding	UI-01	0	3	Approve and implement typography and visual hierarchy	Fonts, sizing, contrast, spacing and information hierarchy meet user review at target displays; rejected ornament is not reused.	REF-04
Interface, settings and onboarding	UI-02	50	2	Finish tool palette and item-state interface	Categories, pages, keys, hover names, counts, cooldowns and disabled/locked reasons reflect actual equipment without persistent unwanted captions.	EQP-01,EQP-02,UI-01
Interface, settings and onboarding	UI-03	25	2	Finish inventory and item-detail interface	Real hold contents expose valid use/drop/sell/equip actions and capacity; remote stock stays separate.	EQP-03,UI-01
Interface, settings and onboarding	UI-04	25	2	Finish surface map and conditions interface	Local chart appears only on surface; world conditions/ecosystem information and map markers reflect measured state.	WRL-07,TER-01,BIO-03,UI-01
Interface, settings and onboarding	UI-05	0	3	Implement system and galaxy navigation screens	Each scale presents its actual geography/range/access information and drives personal ship travel; no local terrain chart outside planets.	NAV-02,NAV-03,NAV-05,UI-01
Interface, settings and onboarding	UI-06	0	3	Implement expressive communications interface	Contextual representatives support incoming/outgoing dialogue and actual diplomatic/service choices.	DIP-01,DIP-04,DIP-05,EQP-09,UI-01
Interface, settings and onboarding	UI-07	0	3	Implement shop and transaction interface	Provider, prices, quantities, capacity, stock and eligibility are visible before purchase/sale and update from confirmed outcomes.	TRD-04,TRD-05,UI-01
Interface, settings and onboarding	UI-08	0	2	Implement badges and collections interface	Earned/locked entries show tier progress, alternatives and routes to newly purchasable capabilities.	PRG-03,PRG-04,PRG-05,EVT-02,UI-01
Interface, settings and onboarding	UI-09	25	2	Implement contextual targeting and combat feedback	World targets, invalid actions, range, damage and danger have readable visual states without firing on mere selection.	FLT-06,COM-01,UI-01
Interface, settings and onboarding	UI-10	25	2	Implement prioritized messages and alerts	Calls, crises, unlocks and failures are deduplicated and prioritized; important events can pause without constant interruption.	SIM-06,EVT-05,PRG-04,UI-01
Interface, settings and onboarding	UI-11	75	1	Finish Escape menu and nested settings	Resume/save/load/settings/history/title are modal and preserve pause state; no permanent bottom utility rail.	FLT-08,SIM-07,UI-01
Interface, settings and onboarding	UI-12	25	2	Implement audio, display and input settings	Volumes, subtitles, bindings and supported display/UI options persist and apply without breaking play.	FLT-07,SIM-07,UI-01
Interface, settings and onboarding	UI-13	25	2	Implement chronicle presentation	One event history presents discovery, decisions, battles, losses and relations without revealing unknown facts.	SIM-06,UI-01
Interface, settings and onboarding	UI-14	25	3	Build coherent contextual onboarding	The first session introduces flight, tools, energy, cargo, contact, purchases and progression in a playable sequence.	UI-02,UI-03,UI-05,UI-06,UI-07,PRG-06
Original art, animation and audio assets	ART-01	25	2	Establish the approved original art production kit	Specifications, scale/material rules, import budgets and review samples define an accepted creepy-cute world; rejected styles remain documented.	REF-05
Original art, animation and audio assets	ART-02	0	3	Author the scout and representative ship kit	Original all-angle meshes, materials, sockets and animation states support close/far flight and combat.	ART-01,COM-01
Original art, animation and audio assets	ART-03	0	5	Author coherent planet and surface presentation	Planet shading, atmosphere, geography, terrain, vegetation and lighting form believable consistent worlds rather than recolored noise.	ART-01,WRL-02
Original art, animation and audio assets	ART-04	25	3	Author baseline flora and fauna assets	Representative ecological roles have original models, movement and readable scan/collection/deployment responses.	ART-01,BIO-01
Original art, animation and audio assets	ART-05	0	3	Author alien representatives and performances	Baseline philosophy representatives have distinctive original silhouettes and dialogue/reaction animation.	ART-01,DIP-03
Original art, animation and audio assets	ART-06	0	3	Author colony and civilization asset kits	Required buildings, settlements and development levels read clearly in surface/orbit views.	ART-01,COL-03,BIO-07
Original art, animation and audio assets	ART-07	0	2	Author the approved icon and interface artwork	Recognizable symbols and states support all baseline screens; temporary SVGs and rejected borders are not counted as final art.	ART-01,UI-01,REF-01
Original art, animation and audio assets	ART-08	25	3	Author and integrate gameplay effects	Thrust, scanning, collection, weapons, terraforming, damage and discovery use bounded coherent effects with actual timing.	ART-01,COM-02,TER-02
Original art, animation and audio assets	ART-09	0	3	Produce and integrate approved sound effects	Every meaningful interaction has an accepted licensed cue; rejected flight/UI sounds are replaced and loops are mixed in context.	ART-01,UI-02,COM-02
Original art, animation and audio assets	ART-10	0	2	Produce and integrate adaptive music	Accepted licensed music supports exploration, diplomacy, danger and transitions with independent level control.	ART-01,UI-12
Original art, animation and audio assets	ART-11	0	2	Produce contextual voice and alien vocalization	Accepted performances, pronunciation, timing and captions replace rejected scratch narration.	ART-05,UI-06,UI-12
Original art, animation and audio assets	ART-12	0	2	Ground the stellar backdrop in documented data	Licensed star positions/brightness and a declared observer frame produce a credible sky; random dots are not labeled accurate.	ART-01,NAV-01
Ship and building creation tools	EDT-01	0	5	Implement ship assembly operations	Allowed parts attach/transform symmetrically with valid connections, bounds and undo/redo.	ART-02,SIM-09
Ship and building creation tools	EDT-02	0	3	Implement ship paint and material editing	Editable finishes persist and preserve the readable approved art treatment.	EDT-01,ART-01
Ship and building creation tools	EDT-03	0	3	Implement building assembly and paint	Required building classes can be composed and colored within valid placement and performance constraints.	ART-06,SIM-09
Ship and building creation tools	EDT-04	0	2	Persist and apply player creations	Validated creation files save/load and appear in actual ships/colonies without changing unrelated mechanical stats.	EDT-01,EDT-02,EDT-03,SIM-07
Ship and building creation tools	EDT-05	0	3	Implement creator interaction screens	Parts browsing, manipulation, camera, preview, undo and confirmation are usable and explain invalid edits.	EDT-04,UI-01
Verification, sandbox baseline and delivery	QA-01	75	2	Maintain reproducible model regression coverage	Existing and new rules have meaningful deterministic/atomicity tests, with stable isolated fixtures and no player-save mutation.	SIM-05,SIM-08
Verification, sandbox baseline and delivery	QA-02	25	3	Verify cross-view saves and uninterrupted simulation	Multiworld play, mid-operation reload and migration preserve inventory, clocks, relationships and projects exactly once.	SIM-07,NAV-03
Verification, sandbox baseline and delivery	QA-03	25	2	Verify native input and display accessibility	Actual supported inputs, tooltips and dense screens are checked at 1080p+ with readable focus/contrast and no clipped controls.	UI-02,UI-12,FLT-07
Verification, sandbox baseline and delivery	QA-04	25	3	Profile the full sector and simultaneous colonies	Measured CPU/GPU/memory budgets include AI, traffic, effects and save/load on the development PC with background load recorded.	SIM-10,ART-08
Verification, sandbox baseline and delivery	QA-05	0	3	Playtest peaceful and hostile complete sessions	Different progression paths reach endgame capabilities without repetitive mandatory errands or exploit-driven advancement.	PRG-06,EVT-08,COM-09
Verification, sandbox baseline and delivery	QA-06	25	2	Integrate baseline sandbox and deliberate cheats	Sandbox uses the same ship/systems with separate saves and explicit cheats that do not contaminate normal progression.	SIM-07,PRG-02
Verification, sandbox baseline and delivery	QA-07	100	1	Maintain reproducible desktop build pipeline	Pinned engine builds a runnable Windows package and exported-pack smoke verifies resource loading.	
Verification, sandbox baseline and delivery	QA-08	100	1	Maintain verified off-device checkpoints	Validated milestones are committed, pushed and remote hashes checked; builds and rejected drafts stay out of source control.	
